name,value
D_ref_mm,243.2699737694803
D_liner_mm,199.1250554107354
D_sn_mm,71.20393247567159
D_de_mm,130.0
D_di_mm,76.2
D_sw_tip_mm,65.71126828554267
D_sw_hub_mm,32.855634142771336
L_pz_mm,197.80397384132425
L_sz_mm,149.34379155805155
L_dz_mm,248.90631926341922
L_liner_total_mm,596.054084662795
d_hole_dome_mm,4.0
dome_hole_rows,4
dome_holes_per_row,12
n_pz_rows,2
n_pz_per_row,11
n_sz_rows,1
n_sz_per_row,13
n_dz_rows,1
n_dz_per_row,7
d_pz_mm,6.0
d_sz_mm,10.0
d_dz_mm,15.0
n_pz_total,21
n_sz_total,13
n_dz_total,7
phi_overall,0.31555999999999995
phi_pz_est,0.7012444444444443
SN,0.7777777777777777
